CHANNEL,LOKASI,TANGGAL,BULAN,TAHUN,KODE_BARANG,KLASIFIKASI_BARANG,WARNA_BARANG,UKURAN_BARANG,BERAT_SATUAN,JUMLAH,BERAT_TOTAL
002,LO000025,01/09/2023 00:00:00,01,2023,MP000197,KD000009,PL000037,SZ000012,2,10,21
002,LO000025,01/09/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,7,3,28
002,LO000025,01/09/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,5,15,75
002,LO000025,01/09/2023 00:00:00,01,2023,MP000294,KD000016,PL000037,SZ000012,3,13,42
002,LO000025,01/11/2023 00:00:00,01,2023,MP000197,KD000037,PL000036,SZ000009,5,2,10
002,LO000025,01/11/2023 00:00:00,01,2023,MP000197,KD000028,PL000036,SZ000012,15,2,30
002,LO000025,01/11/2023 00:00:00,01,2023,MP000197,KD000028,PL000036,SZ000012,7,2,14
002,LO000025,01/11/2023 00:00:00,01,2023,MP000197,KD000028,PL000036,SZ000012,6,2,12
002,LO000025,01/11/2023 00:00:00,01,2023,MP000197,KD000028,PL000036,SZ000012,8,2,16
002,LO000025,01/11/2023 00:00:00,01,2023,MP000197,KD000028,PL000036,SZ000012,5,2,10
002,LO000025,01/11/2023 00:00:00,01,2023,MP002277,KD000028,PL000037,SZ000009,4,2,8
002,LO000025,01/11/2023 00:00:00,01,2023,MP002277,KD000028,PL000037,SZ000009,3,2,6
002,LO000025,01/11/2023 00:00:00,01,2023,MP000197,KD000037,PL000036,SZ000009,4,1,8
002,LO000025,01/12/2023 00:00:00,01,2023,MP000197,KD000037,PL000039,SZ000012,4,1,4
002,LO000025,01/12/2023 00:00:00,01,2023,MP000197,KD000037,PL000039,SZ000012,2,2,4
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000037,PL000039,SZ000012,3,1,3
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000037,PL000039,SZ000009,2,2,4
002,LO000025,01/12/2023 00:00:00,01,2023,MP002277,KD000037,PL000039,SZ000012,2,2,4
002,LO000017,01/04/2023 00:00:00,01,2023,MP002277,KD000009,PL000037,SZ000009,1,4,4
